NO,Department,Degree,Course Number,Section,Course Title,Instructor,Classification,Course Type,Theory/Lab,Course Category,Course Fields,Course Areas,Track,Degree Classification,Grade Method,Credit,Theo,Lab,Code Share,Delivered in English,Day/Time/Class Room,Prerequisite Course,Remarks
1,School of Undergraduate Studies,ALL,BE101a,01,Introduction to Programming - Introduction to Programming,Jisoo Mok,Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Engineering,Computer Engineering,,,Grade,3.0,2.0,2.0,N,Y,"Tue09:00-11:00(E7 - 233), Thu09:00-11:00(E7 - 233)",,목요일 09시-11시 실습 수업 일괄 진행
2,School of Undergraduate Studies,ALL,BE202,01,Introduction to Data Science - Introduction to Data Science,Jun-Gi Jang,Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Engineering,Computer Engineering,,,Grade,3.0,2.0,2.0,N,Y,"Tue13:00-15:00(E7 - 233), Thu13:00-15:00(E7 - 233)",,
3,School of Undergraduate Studies,ALL,BE202,02,Introduction to Data Science - Introduction to Data Science,Hyunjae Gil,Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Engineering,Computer Engineering,,,Grade,3.0,2.0,2.0,N,Y,"Mon15:00-17:00(E7 - 233), Wed15:00-17:00(E7 - 233)",,
4,School of Undergraduate Studies,ALL,BE203,01,Creative mechanical design - Creative mechanical design,Joon-Hyuk Park,Basic compulsory course,Course Study,Theory,Basic,Basic Engineering,Engineering Selection,,,Grade,3.0,3.0,0.0,N,N,Fri09:00-12:00(E7 - 307),,
5,School of Undergraduate Studies,ALL,BE203,02,Creative mechanical design - Creative mechanical design,Sukho Song,Basic compulsory course,Course Study,Theory,Basic,Basic Engineering,Engineering Selection,,,Grade,3.0,3.0,0.0,N,Y,Mon14:30-17:30(E7 - 307),,
6,School of Undergraduate Studies,ALL,BE205,01,Circuit Theory and Measurement (Lecture) - Circuit Theory and Measurement (Lecture),"Lee, Jung Hyup",Basic compulsory course,Course Study,Theory,Basic,Basic Engineering,Engineering Selection,,,Grade,2.0,2.0,0.0,N,Y,Thu17:00-19:00(E7 - 236),,
7,School of Undergraduate Studies,ALL,BE205,02,Circuit Theory and Measurement (Lecture) - Circuit Theory and Measurement (Lecture),"Song, Minyoung",Basic compulsory course,Course Study,Theory,Basic,Basic Engineering,Engineering Selection,,,Grade,2.0,2.0,0.0,N,Y,Tue17:00-19:00(E7 - 236),,
8,School of Undergraduate Studies,ALL,BR301,01,Brain Science LabⅠ - Brain Science LabⅠ,"Cho, Yongcheol, Kim, Kyu Hyung , Oh, Yong Seok",Advanced compulsory course,Course Study,Lab,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,0.0,3.0,N,Y,Fri09:00-12:00(E4 - 225),,
9,School of Undergraduate Studies,ALL,BR403,01,Neuroregeneration and Degeneration - Neuroregeneration and Degeneration,"Cho, Yongcheol",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,"Tue14:30-16:00(E7 - L21), Thu14:30-16:00(E7 - L21)",,신규개설
10,School of Undergraduate Studies,ALL,BR404,01,Learning and Memory - Learning and Memory,Pojeong Park,Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,"Tue16:30-18:00(E7 - L21), Thu16:30-18:00(E7 - L21)",,신규개설
11,School of Undergraduate Studies,ALL,BS102a,01,Engineering MathematicsⅠ - Engineering Mathematics I,"Ahn, Heung Ju",Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Science,Mathematics,,,Grade,3.0,3.0,1.0,N,Y,"Tue13:00-15:00(E7 - 223), Thu13:00-15:00(E7 - 223)",,
12,School of Undergraduate Studies,ALL,BS102a,02,Engineering MathematicsⅠ - Engineering Mathematics I,Hudson Thomas Bryan,Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Science,Mathematics,,,Grade,3.0,3.0,1.0,N,Y,"Tue16:30-18:30(E7 - 223), Thu16:30-18:30(E7 - 223)",,
13,School of Undergraduate Studies,ALL,BS102a,03,Engineering MathematicsⅠ - Engineering Mathematics I,Carlos Scarinci,Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Science,Mathematics,,,Grade,3.0,3.0,1.0,N,Y,"Mon09:00-11:00(E7 - L21), Wed09:00-11:00(E7 - L21)",,
14,School of Undergraduate Studies,ALL,BS102a,04,Engineering MathematicsⅠ - Engineering Mathematics I,Carlos Scarinci,Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Science,Mathematics,,,Grade,3.0,3.0,1.0,N,Y,"Mon16:00-18:00(E7 - 223), Wed16:00-18:00(E7 - 223)",,
15,School of Undergraduate Studies,ALL,BS102a,05,Engineering MathematicsⅠ - Engineering Mathematics I,Unassigned,Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Science,Mathematics,,,Grade,3.0,3.0,1.0,N,Y,"Tue11:00-13:00(E7 - 223), Thu11:00-13:00(E7 - 223)",,
16,School of Undergraduate Studies,ALL,BS103a,01,General PhysicsⅠ - General PhysicsⅠ,DEVECIOGLU DENIZ OLGU,Basic compulsory course,Course Study,Theory,Basic,Basic Science,Physics,,,Grade,3.0,3.0,0.0,N,Y,"Tue15:00-16:30(E7 - 241), Thu15:00-16:30(E7 - 241)",,
17,School of Undergraduate Studies,ALL,BS103a,02,General PhysicsⅠ - General PhysicsⅠ,DEVECIOGLU DENIZ OLGU,Basic compulsory course,Course Study,Theory,Basic,Basic Science,Physics,,,Grade,3.0,3.0,0.0,N,Y,"Tue11:00-12:30(E7 - 241), Thu11:00-12:30(E7 - 241)",,
18,School of Undergraduate Studies,ALL,BS103a,03,General PhysicsⅠ - General PhysicsⅠ,DEVECIOGLU DENIZ OLGU,Basic compulsory course,Course Study,Theory,Basic,Basic Science,Physics,,,Grade,3.0,3.0,0.0,N,Y,"Tue17:00-18:30(E7 - 241), Thu17:00-18:30(E7 - 241)",,
19,School of Undergraduate Studies,ALL,BS104a,01,General Physics LabⅠ - General Physics LabⅠ,"Kim, Dong Lyeul",Basic compulsory course,Course Study,Lab,Basic,Basic Science,Physics,,,Grade,1.0,0.0,2.0,N,N,Mon16:00-18:00(E2 - 220),,
20,School of Undergraduate Studies,ALL,BS104a,02,General Physics LabⅠ - General Physics LabⅠ,"Kim, Dong Lyeul",Basic compulsory course,Course Study,Lab,Basic,Basic Science,Physics,,,Grade,1.0,0.0,2.0,N,N,Wed14:00-16:00(E2 - 220),,
21,School of Undergraduate Studies,ALL,BS104a,03,General Physics LabⅠ - General Physics LabⅠ,"Kim, Dong Lyeul",Basic compulsory course,Course Study,Lab,Basic,Basic Science,Physics,,,Grade,1.0,0.0,2.0,N,N,Mon13:00-15:00(E2 - 220),,
22,School of Undergraduate Studies,ALL,BS104a,04,General Physics LabⅠ - General Physics LabⅠ,"Kim, Dong Lyeul",Basic compulsory course,Course Study,Lab,Basic,Basic Science,Physics,,,Grade,1.0,0.0,2.0,N,N,Mon10:30-12:30(E2 - 220),,
23,School of Undergraduate Studies,ALL,BS104a,05,General Physics LabⅠ - General Physics LabⅠ,"Park, Keeseong",Basic compulsory course,Course Study,Lab,Basic,Basic Science,Physics,,,Grade,1.0,0.0,2.0,N,Y,Tue13:00-15:00(E2 - 220),,
24,School of Undergraduate Studies,ALL,BS113,01,General Chemistry Lab Ⅰ - General Chemistry Lab Ⅰ,"Min, Eun Seon",Basic compulsory course,Course Study,Lab,Basic,Basic Science,Chemistry,,,Grade,1.0,0.0,2.0,N,Y,Wed09:00-11:00(E6 - 221),,
25,School of Undergraduate Studies,ALL,BS113,02,General Chemistry Lab Ⅰ - General Chemistry Lab Ⅰ,"Min, Eun Seon",Basic compulsory course,Course Study,Lab,Basic,Basic Science,Chemistry,,,Grade,1.0,0.0,2.0,N,N,Mon09:00-11:00(E6 - 221),,
26,School of Undergraduate Studies,ALL,BS113,03,General Chemistry Lab Ⅰ - General Chemistry Lab Ⅰ,"Min, Eun Seon",Basic compulsory course,Course Study,Lab,Basic,Basic Science,Chemistry,,,Grade,1.0,0.0,2.0,N,N,Mon15:00-17:00(E6 - 221),,
27,School of Undergraduate Studies,ALL,BS113,04,General Chemistry Lab Ⅰ - General Chemistry Lab Ⅰ,"Min, Eun Seon",Basic compulsory course,Course Study,Lab,Basic,Basic Science,Chemistry,,,Grade,1.0,0.0,2.0,N,N,Mon13:00-15:00(E6 - 221),,
28,School of Undergraduate Studies,ALL,BS113,05,General Chemistry Lab Ⅰ - General Chemistry Lab Ⅰ,"Min, Eun Seon",Basic compulsory course,Course Study,Lab,Basic,Basic Science,Chemistry,,,Grade,1.0,0.0,2.0,N,N,Wed14:00-16:00(E6 - 221),,
29,School of Undergraduate Studies,ALL,BS114,01,Introduction to Biology - Introduction to Biology,Sukkyoo Lee,Basic compulsory course,Course Study,Theory,Basic,Basic Science,Biology,,,Grade,3.0,3.0,0.0,N,Y,"Tue11:00-12:30(E7 - 242), Thu11:00-12:30(E7 - 242)",,
30,School of Undergraduate Studies,ALL,BS114,02,Introduction to Biology - Introduction to Biology,"Lee, Hyo Sang",Basic compulsory course,Course Study,Theory,Basic,Basic Science,Biology,,,Grade,3.0,3.0,0.0,N,Y,"Mon16:30-18:00(E7 - 224), Wed16:30-18:00(E7 - 224)",,
31,School of Undergraduate Studies,ALL,BS115,01,General Biology Lab - General Biology Lab,"Kim, Yoo Ri",Basic compulsory course,Course Study,Lab,Basic,Basic Science,Biology,,,Grade,1.0,0.0,2.0,N,Y,Mon09:00-11:00(E4 - 224),,
32,School of Undergraduate Studies,ALL,BS115,02,General Biology Lab - General Biology Lab,"Cho, Jeong A",Basic compulsory course,Course Study,Lab,Basic,Basic Science,Biology,,,Grade,1.0,0.0,2.0,N,Y,Wed11:00-13:00(E4 - 224),,
33,School of Undergraduate Studies,ALL,BS115,03,General Biology Lab - General Biology Lab,"Cho, Jeong A",Basic compulsory course,Course Study,Lab,Basic,Basic Science,Biology,,,Grade,1.0,0.0,2.0,N,Y,Tue11:00-13:00(E4 - 224),,
34,School of Undergraduate Studies,ALL,BS115,04,General Biology Lab - General Biology Lab,"Cho, Jeong A",Basic compulsory course,Course Study,Lab,Basic,Basic Science,Biology,,,Grade,1.0,0.0,2.0,N,Y,Thu11:00-13:00(E4 - 224),,
35,School of Undergraduate Studies,ALL,BS115,05,General Biology Lab - General Biology Lab,"Cho, Jeong A",Basic compulsory course,Course Study,Lab,Basic,Basic Science,Biology,,,Grade,1.0,0.0,2.0,N,Y,Wed09:00-11:00(E4 - 224),,
36,School of Undergraduate Studies,ALL,BS115,06,General Biology Lab - General Biology Lab,"Cho, Jeong A",Basic compulsory course,Course Study,Lab,Basic,Basic Science,Biology,,,Grade,1.0,0.0,2.0,N,Y,Wed14:00-16:00(E4 - 224),,
37,School of Undergraduate Studies,ALL,BS115,07,General Biology Lab - General Biology Lab,"Cho, Jeong A",Basic compulsory course,Course Study,Lab,Basic,Basic Science,Biology,,,Grade,1.0,0.0,2.0,N,Y,Wed16:00-18:00(E4 - 224),,
38,School of Undergraduate Studies,ALL,BS116,01,General Biology I - General Biology I,"Chan Chung, Kwak, June Myoung, Kim, Min Sik",Basic compulsory course,Course Study,Theory,Basic,Basic Science,Biology,,,Grade,3.0,3.0,0.0,N,Y,"Mon16:30-18:00(E7 - 236), Wed16:30-18:00(E7 - 236)",,
39,School of Undergraduate Studies,ALL,BS118,01,General chemistryⅠ - General chemistryⅠ,"In, Su Il",Basic compulsory course,Course Study,Theory,Basic,Basic Science,Chemistry,,,Grade,3.0,3.0,0.0,N,Y,Mon13:00-16:00(E7 - 241),,
40,School of Undergraduate Studies,ALL,BS118,02,General chemistryⅠ - General chemistryⅠ,SANGARAJU SHANMUGAM,Basic compulsory course,Course Study,Theory,Basic,Basic Science,Chemistry,,,Grade,3.0,3.0,0.0,N,Y,"Tue14:00-15:30(E7 - 242), Thu14:00-15:30(E7 - 242)",,
41,School of Undergraduate Studies,ALL,BS118,03,General chemistryⅠ - General chemistryⅠ,Unassigned,Basic compulsory course,Course Study,Theory,Basic,Basic Science,Chemistry,,,Grade,3.0,3.0,0.0,N,Y,"Wed09:00-10:30(E7 - 233), Fri09:00-10:30(E7 - 233)",,
42,School of Undergraduate Studies,ALL,BS202,01,Introduction to Probability and Mathematical Statistics with R - Introduction to Probability and Mathematical Statistics with R,"Kim, Ju Han",Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Science,Mathematics,,,Grade,3.0,3.0,1.0,N,Y,"Tue12:30-14:30(E7 - G01), Wed12:30-14:30(E7 - G01)",,2018학번 이상
43,School of Undergraduate Studies,ALL,BS202,02,Introduction to Probability and Mathematical Statistics with R - Introduction to Probability and Mathematical Statistics with R,"Kim, Ju Han",Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Science,Mathematics,,,Grade,3.0,3.0,1.0,N,Y,"Tue16:00-18:00(E7 - G01), Wed16:00-18:00(E7 - G01)",,2018학번 이상
44,School of Undergraduate Studies,ALL,BS203,01,Linear Algebra - Linear Algebra,"Han, Kang Jin",Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Science,Mathematics,,,Grade,3.0,3.0,1.0,N,Y,"Mon13:00-15:00(E7 - 224), Wed13:00-15:00(E7 - 224)",,
45,School of Undergraduate Studies,ALL,BS203,02,Linear Algebra - Linear Algebra,"Han, Kang Jin",Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Science,Mathematics,,,Grade,3.0,3.0,1.0,N,Y,"Tue16:00-18:00(E7 - L22), Thu16:00-18:00(E7 - L22)",,
46,School of Undergraduate Studies,ALL,BS203,03,Linear Algebra - Linear Algebra,"Lee, Doo Seok",Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Science,Mathematics,,,Grade,3.0,3.0,1.0,N,Y,"Mon09:00-11:00(E7 - L22), Wed09:00-11:00(E7 - L22)",,
47,School of Undergraduate Studies,ALL,BS203,04,Linear Algebra - Linear Algebra,Unassigned,Basic compulsory course,Course Study,Theory&Lab,Basic,Basic Science,Mathematics,,,Grade,3.0,3.0,1.0,N,Y,"Tue13:00-15:00(E7 - 224), Fri13:00-15:00(E7 - 224)",,
48,School of Undergraduate Studies,ALL,CE303,01,Chemical engineering thermodynamics - Chemical engineering thermodynamics,Seo-Jin Ko,Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Tue10:30-12:00(E7 - L31), Thu10:30-12:00(E7 - L31)",,
49,School of Undergraduate Studies,ALL,CE401,01,Introduction to Polymer Science and Engineering - Introduction to Polymer Science and Engineering,Dong Hae Ho,Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,"Bachelor of Science, Bachelor of Engineering",Grade,3.0,3.0,0.0,N,Y,"Tue09:00-10:30(E7 - L22), Thu09:00-10:30(E7 - L22)",,
50,School of Undergraduate Studies,ALL,CE402,01,Chemical Product and Process Design - Chemical Product and Process Design,"Kim, Chan Yeon",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Mon14:30-16:00(E7 - G02), Wed14:30-16:00(E7 - G02)",,
51,School of Undergraduate Studies,ALL,CHEM201,01,Analytical Chemistry - Analytical Chemistry,"Lee, Hochun",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,"Bachelor of Science, Bachelor of Engineering",Grade,3.0,3.0,0.0,N,Y,"Mon10:30-12:00(E7 - 233), Wed10:30-12:00(E7 - 233)",,
52,School of Undergraduate Studies,ALL,CHEM205,01,Organic Chemistry I - Organic Chemistry I,"Jung, Byung Hyuck",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,"Bachelor of Science, Bachelor of Engineering",Grade,3.0,3.0,0.0,N,Y,"Tue09:00-10:30(E7 - 236), Thu09:00-10:30(E7 - 236)",,
53,School of Undergraduate Studies,ALL,CHEM206,01,General chemistry laboratoryⅡ - General chemistry laboratoryⅡ,"Lee, Youn Gu",Advanced compulsory course,Course Study,Lab,Advanced,Major,Track,,Bachelor of Science,Grade,1.0,0.0,2.0,N,Y,Mon13:00-15:00(E6 - 222),,
54,School of Undergraduate Studies,ALL,CHEM301,01,Advanced Chemistry Lab I (Analytical and Organic Chemistry) - Advanced Chemistry Lab I (Analytical and Organic Chemistry),"Seonki Hong, In, Su Il",Advanced compulsory course,Course Study,Lab,Advanced,Major,Track,,Bachelor of Science,Grade,2.0,0.0,4.0,N,Y,Tue12:30-16:30(E6 - 221),,
55,School of Undergraduate Studies,ALL,CHEM305,01,Inorganic Chemistry II - Inorganic Chemistry II,SEONG KYUN KIM,Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,"Bachelor of Science, Bachelor of Engineering",Grade,3.0,3.0,0.0,N,Y,"Mon15:00-16:30(E7 - L22), Wed15:00-16:30(E7 - L22)",(CHEM202) 무기화학 Ⅰ (이.공),무기화학I 사전 수강 필수
56,School of Undergraduate Studies,ALL,CHEM306,01,Physical Chemistry II - Physical Chemistry II,Sung Jooyoung,Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,"Bachelor of Science, Bachelor of Engineering",Grade,3.0,3.0,0.0,N,Y,"Mon09:00-10:30(E7 - 224), Wed09:00-10:30(E7 - 224)",,
57,School of Undergraduate Studies,ALL,CHEM404,01,Computational Chemistry - Computational Chemistry,"Jang, Yun Hee ",Advanced compulsory course,Course Study,Theory&Lab,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,2.0,1.0,N,Y,"Mon16:30-18:00(E7 - L22), Wed16:30-18:00(E7 - L22)",,
58,School of Undergraduate Studies,ALL,CSE203,01,Data Structure - Data Structure,"Kim, Sunjun",Advanced compulsory course,Course Study,Theory,Advanced,Major,Major Advanced,,"Bachelor of Science, Bachelor of Engineering",Grade,3.0,3.0,0.0,N,Y,"Mon11:00-12:30(E7 - 242), Wed11:00-12:30(E7 - 242)",(BE101a) 프로그래밍,
59,School of Undergraduate Studies,ALL,CSE302,01,Introduction to Machine Learning - Introduction to Machine Learning,"Sang Hyun, Park",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,"Bachelor of Science, Bachelor of Engineering",Grade,3.0,3.0,0.0,N,Y,"Mon15:00-16:30(E7 - 242), Wed15:00-16:30(E7 - 242)",,
60,School of Undergraduate Studies,ALL,CSE305,01,Computer Architecture - Computer Architecture,Unassigned,Advanced compulsory course,Course Study,Theory,Advanced,Major,Major Advanced,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Tue13:00-14:30(E7 - 236), Thu13:00-14:30(E7 - 236)",(CSE201) 객체지향 프로그래밍 (이.공),
61,School of Undergraduate Studies,ALL,CSE306,01,System Programming - System Programming,Yongwoo Lee,Advanced compulsory course,Course Study,Theory,Advanced,Major,Major Advanced,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Mon16:30-18:00(E7 - 242), Wed16:30-18:00(E7 - 242)",(CSE201) 객체지향 프로그래밍 (이.공),
62,School of Undergraduate Studies,ALL,CSE307,01,Programming Languages - Programming Languages,Minseok Jeon,Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,"Bachelor of Science, Bachelor of Engineering",Grade,3.0,3.0,0.0,N,Y,"Tue14:30-16:00(E7 - 236), Thu14:30-16:00(E7 - 236)",,신규개설
63,School of Undergraduate Studies,ALL,CSE404,01,Introduction to Computer Vision - Introduction to Computer Vision,"Im, Sung Hoon",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Tue09:00-10:30(E7 - L21), Thu09:00-10:30(E7 - L21)",,
64,School of Undergraduate Studies,ALL,CSE405,01,Introduction to Computer Security - Introduction to Computer Security,Wonseok Choi,Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Mon10:30-12:00(E7 - 224), Wed10:30-12:00(E7 - 224)",,
65,School of Undergraduate Studies,ALL,EE301,01,Signals and Systems - Signals and Systems,Jae-Ho Choi,Advanced compulsory course,Course Study,Theory,Advanced,Major,Major Advanced,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Tue09:00-10:30(E7 - 241), Thu09:00-10:30(E7 - 241)",,
66,School of Undergraduate Studies,ALL,EE401,01,Digital Signal Processing - Digital Signal Processing,"Hwang, Jae Youn",Advanced compulsory course,Course Study,Theory,Advanced,Major,Major Advanced,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Tue09:00-10:30(E7 - G01), Thu09:00-10:30(E7 - G01)",,
67,School of Undergraduate Studies,ALL,EE403,01,Digital Communications - Digital Communications,"Seo, Dae Won",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Mon13:00-14:30(E7 - G02), Wed13:00-14:30(E7 - G02)",(EE305) 통신의 기초(공),
68,School of Undergraduate Studies,ALL,EE406,01,Intelligent Control Systems - Intelligent Control Systems,"Kim Kyoung Dae, Seongmin Lee",Advanced compulsory course,Course Study,Theory,Advanced,Major,Major Advanced,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Tue13:00-14:30(E7 - 235), Thu13:00-14:30(E7 - 235)",(MECH309) 자동제어시스템(공),
69,School of Undergraduate Studies,ALL,EE407,01,Digital Integrated Circuit Design - Digital Integrated Circuit Design,"KIM, GAIN",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Mon09:00-10:30(E3 - 626), Wed09:00-10:30(E3 - 626)",,
70,School of Undergraduate Studies,ALL,GC101,01,Academic English: Speaking and Correspondence - Academic English: Speaking and Correspondence,Aaron Cumberledge,Basic compulsory course,Course Study,Theory,Basic,Global Communication,English,,,Grade,2.0,3.0,0.0,N,Y,Tue15:30-18:30(E7 - L27),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
71,School of Undergraduate Studies,ALL,GC101,02,Academic English: Speaking and Correspondence - Academic English: Speaking and Correspondence,Aaron Cumberledge,Basic compulsory course,Course Study,Theory,Basic,Global Communication,English,,,Grade,2.0,3.0,0.0,N,Y,Mon09:00-12:00(E7 - L27),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
72,School of Undergraduate Studies,ALL,GC101,03,Academic English: Speaking and Correspondence - Academic English: Speaking and Correspondence,Aaron Cumberledge,Basic compulsory course,Course Study,Theory,Basic,Global Communication,English,,,Grade,2.0,3.0,0.0,N,Y,Mon13:00-16:00(E7 - L27),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
73,School of Undergraduate Studies,ALL,GC101,04,Academic English: Speaking and Correspondence - Academic English: Speaking and Correspondence,Aaron Cumberledge,Basic compulsory course,Course Study,Theory,Basic,Global Communication,English,,,Grade,2.0,3.0,0.0,N,Y,Tue11:00-14:00(E7 - L27),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
74,School of Undergraduate Studies,ALL,GC101,05,Academic English: Speaking and Correspondence - Academic English: Speaking and Correspondence,Benjamin Wilson Riley,Basic compulsory course,Course Study,Theory,Basic,Global Communication,English,,,Grade,2.0,3.0,0.0,N,Y,Wed09:00-12:00(E7 - L28),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
75,School of Undergraduate Studies,ALL,GC101,06,Academic English: Speaking and Correspondence - Academic English: Speaking and Correspondence,Benjamin Wilson Riley,Basic compulsory course,Course Study,Theory,Basic,Global Communication,English,,,Grade,2.0,3.0,0.0,N,Y,Thu11:00-14:00(E7 - L27),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
76,School of Undergraduate Studies,ALL,GC101,07,Academic English: Speaking and Correspondence - Academic English: Speaking and Correspondence,Benjamin Wilson Riley,Basic compulsory course,Course Study,Theory,Basic,Global Communication,English,,,Grade,2.0,3.0,0.0,N,Y,Thu15:30-18:30(E7 - L27),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
77,School of Undergraduate Studies,ALL,GC101,08,Academic English: Speaking and Correspondence - Academic English: Speaking and Correspondence,Benjamin Wilson Riley,Basic compulsory course,Course Study,Theory,Basic,Global Communication,English,,,Grade,2.0,3.0,0.0,N,Y,Wed14:00-17:00(E7 - L28),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
78,School of Undergraduate Studies,ALL,GC101,09,Academic English: Speaking and Correspondence - Academic English: Speaking and Correspondence,Mark Silverlock,Basic compulsory course,Course Study,Theory,Basic,Global Communication,English,,,Grade,2.0,3.0,0.0,N,Y,Wed14:00-17:00(E7 - L27),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
79,School of Undergraduate Studies,ALL,GC101,10,Academic English: Speaking and Correspondence - Academic English: Speaking and Correspondence,Mark Silverlock,Basic compulsory course,Course Study,Theory,Basic,Global Communication,English,,,Grade,2.0,3.0,0.0,N,Y,Mon13:00-16:00(E7 - L28),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
80,School of Undergraduate Studies,ALL,GC101,11,Academic English: Speaking and Correspondence - Academic English: Speaking and Correspondence,Mark Silverlock,Basic compulsory course,Course Study,Theory,Basic,Global Communication,English,,,Grade,2.0,3.0,0.0,N,Y,Wed09:00-12:00(E7 - L27),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
81,School of Undergraduate Studies,ALL,GC101,12,Academic English: Speaking and Correspondence - Academic English: Speaking and Correspondence,Andrew John Miller,Basic compulsory course,Course Study,Theory,Basic,Global Communication,English,,,Grade,2.0,3.0,0.0,N,Y,Fri14:00-17:00(E7 - L28),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
82,School of Undergraduate Studies,ALL,GC101,13,Academic English: Speaking and Correspondence - Academic English: Speaking and Correspondence,Andrew John Miller,Basic compulsory course,Course Study,Theory,Basic,Global Communication,English,,,Grade,2.0,3.0,0.0,N,Y,Fri09:30-12:30(E7 - L28),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
83,School of Undergraduate Studies,ALL,GC101,14,Academic English: Speaking and Correspondence - Academic English: Speaking and Correspondence,"Lee, Jeong Ah",Basic compulsory course,Course Study,Theory,Basic,Global Communication,English,,,Grade,2.0,3.0,0.0,N,Y,Tue14:00-17:00(E7 - L28),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
84,School of Undergraduate Studies,ALL,HSS101,01,Introduction to Economics - Introduction to Economics,"Kim, Son-ku",Basic compulsory course,Course Study,Theory,Basic,Humanities and Social Sciences,Writing·Reading,,,Grade,3.0,3.0,0.0,N,Y,Wed10:00-13:00(E7 - L31),,"2026학번 정원: 25명, 2025학번 이상 정원: 10명영어강좌(Only English)"
85,School of Undergraduate Studies,ALL,HSS102,01,Science and Technology in Modern Society - Science and Technology in Modern Society," Chang, Ha Won",Basic compulsory course,Course Study,Theory,Basic,Humanities and Social Sciences,Writing·Reading,,,Grade,3.0,3.0,0.0,N,N,Mon10:00-13:00(E7 - G01),,"2026학번 정원:25명, 2025학번 이상 정원: 10명"
86,School of Undergraduate Studies,ALL,HSS103,01,Law and Society - Law and Society,"Kim, Hyun hee",Basic compulsory course,Course Study,Theory,Basic,Humanities and Social Sciences,Writing·Reading,,,Grade,3.0,3.0,0.0,N,N,Fri09:00-12:00(E7 - L21),,"2026학번 정원: 30명, 2025학번 이상 정원: 10명"
87,School of Undergraduate Studies,ALL,HSS104a,01,Introduction to Fiction - Introduction to Fiction,"Bae, Haeun",Basic compulsory course,Course Study,Theory,Basic,Humanities and Social Sciences,Writing·Reading,,,Grade,3.0,3.0,0.0,N,N,"Mon10:30-12:00(E7 - G02), Wed10:30-12:00(E7 - G02)",,"2026학번 정원: 25명, 2025학번 이상 정원: 10명"
