NO,Department,Degree,Course Number,Section,Course Title,Instructor,Classification,Course Type,Theory/Lab,Course Category,Course Fields,Course Areas,Track,Degree Classification,Grade Method,Credit,Theo,Lab,Code Share,Delivered in English,Day/Time/Class Room,Prerequisite Course,Remarks
131,School of Undergraduate Studies,ALL,LS203,02,Cell Biology Lab - Cell Biology Lab,"Chan Chung, Lee, Chang-Hun, Cho, Jeong A",Advanced compulsory course,Course Study,Lab,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,0.0,6.0,N,N,"Tue15:30-18:30(E4 - 225), Thu15:30-18:30(E4 - 225)","(BS114) 생명과학개론 또는 (BS116) 일반생물학Ⅰ, (BS115) 일반생물학 실험",
132,School of Undergraduate Studies,ALL,LS203,03,Cell Biology Lab - Cell Biology Lab,"Cho, Jeong A, Chan Chung, Lee, Chang-Hun",Advanced compulsory course,Course Study,Lab,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,0.0,6.0,N,N,"Tue15:00-18:00(E4 - 224), Thu15:00-18:00(E4 - 224)","(BS114) 생명과학개론 또는 (BS116) 일반생물학Ⅰ, (BS115) 일반생물학 실험",
133,School of Undergraduate Studies,ALL,LS204,01,Cell Biology - Cell Biology,"Baek, Myung In, Jeong, Young Tae",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,"Tue15:00-16:30(E7 - 233), Thu15:00-16:30(E7 - 233)",(BS114) 생명과학개론 또는 (BS116) 일반생물학Ⅰ,
134,School of Undergraduate Studies,ALL,LS204,02,Cell Biology - Cell Biology,"Baek, Myung In, Jeong, Young Tae",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,"Mon13:00-14:30(E7 - 236), Wed13:00-14:30(E7 - 236)",(BS114) 생명과학개론 또는 (BS116) 일반생물학Ⅰ,
135,School of Undergraduate Studies,ALL,LS304,01,Ecology and Evolution - Ecology and Evolution,"LEE, SANGIM",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,"Tue09:00-10:30(E7 - 229), Thu09:00-10:30(E7 - 229)",,
136,School of Undergraduate Studies,ALL,LS305,01,Neuroscience Ⅰ - Neuroscience Ⅰ,"Suh, Byung Chang, Um, JI Won",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,"Tue13:00-14:30(E7 - L21), Thu13:00-14:30(E7 - L21)",,"학기변경으로 한시적으로 I,II 함께 개설"
137,School of Undergraduate Studies,ALL,LS306,01,Neuroscience Ⅱ - Neuroscience Ⅱ,"Hyun, Jung Ho, Lee, Hyo Sang, HAN KYOUNG CHOE",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,"Mon14:30-16:00(E7 - L21), Wed14:30-16:00(E7 - L21)",,"학기변경으로 한시적으로 I,II 함께 개설"
138,School of Undergraduate Studies,ALL,LS308,01,Biochemistry I - Biochemistry I,"Kim, Jin Hae, Kim, Yoo Ri, Lee, Jong Chan, Lee, Jae Min",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,"Mon16:30-18:00(E7 - 241), Wed16:30-18:00(E7 - 241)",(BS114) 생명과학개론 또는 (BS116) 일반생물학Ⅰ,
139,School of Undergraduate Studies,ALL,LS312,01,Technology for drug development - Technology for drug development,"Yea, Kyung Moo, Lee, Byung Hoon",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,Tue09:00-12:00(E4 - 113),,
140,School of Undergraduate Studies,ALL,LS314,01,Nobel Prize Winning Discoveries in Life Sciences - Nobel Prize Winning Discoveries in Life Sciences,"Lee, Byung Hoon, Song-Yi Lee",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,"Mon09:00-10:30(E7 - 229), Wed09:00-10:30(E7 - 229)",,
